id,case_id,person_id,statement,date_of_statement
1,1,128,"В ночь происшествия слышал громкий крик около 23:30 возле заброшенного завода. Видел мужчину в темной куртке с капюшоном — он бежал в сторону парка, что-то блестящее было у него в руке.",2000-04-15
2,2,432,"12 марта около 2:30 ночи заметил подозрительную активность у ювелирного магазина. Человек в маске выносил кейс и сел в машину с номерами, заклеенными бумагой.",2021-03-18
3,3,765,"За час до пожара в театре слышал, как кто-то возился в гримерке №3. Пахло бензином, но я подумал, что это чистящее средство. Позже увидел дым из-под двери.",2002-07-05
4,4,231,"5 июля около 18:00 видел серый седан, который резко тормозил у старых гаражей. Водитель выбросил сверток в мусорный бак — позже там нашли окровавленную одежду.",2012-07-10
5,5,876,"Во время митинга заметил, как мужчина в синем капюшоне толкнул пострадавшего, потом достал нож. Убегал через толпу в сторону остановки 'Центральный рынок'.",2011-08-28
6,6,543,"25 августа ночью слышал шум на крыше музея. Утром увидел следы обуви возле вентиляции — подошва с крупным рисунком, как у рабочих ботинок.",2014-08-30
7,7,987,"19 октября вечером возле дома стоял черный фургон с тонированными стеклами. Водитель курил и что-то записывал в блокнот. Номера начинались на 'Х999'.",2019-10-22
8,8,321,"В конце апреля заметил, что главный бухгалтер часто оставался после работы. Однажды видел, как он загружал файлы на флешку в форме брелка от машины.",2024-05-02
9,9,654,"19 февраля система банка выдала ошибку при входе с моего компьютера. Позже выяснилось, что кто-то использовал мой логин для доступа к клиентским данным.",2015-02-25
10,10,789,"26 апреля утром на вокзале мужчина оставил чемодан у киоска с прессой. Он нервно проверял время на телефоне и постоянно оглядывался на камеры.",2022-05-03
11,11,234,"1 ноября утром в парке видел мужчину с капюшоном (красная полоса). Он шел от скамейки, где позже нашли тело, и что-то прятал в рукаве.",2010-11-08
12,12,567,"8 октября на складе пахло химикатами — сильнее, чем обычно. В углу лежала открытая коробка с проводами, хотя мы такие не используем.",2020-10-12
13,13,890,"24 декабря ночью сработала сигнализация в магазине. На записи видно, как кто-то пролез через вентиляцию — движется как гимнаст, знает расположение камер.",2010-01-03
14,14,123,"30 июня слышал, как в квартире напротив били посуду. Позже увидел, как кто-то в черном вылез из окна и спрыгнул на дерево.",2010-07-05
15,15,456,"29 января грузовик с номерами 'РВ742' стоял у склада дольше обычного. Водитель отказался открывать задние двери для проверки, ссылаясь на 'хрупкий груз'.",1998-02-05
16,16,789,"11 января вечером возле дома ходил мужчина с канистрой. На вопрос 'что делаете?' ответил, что 'заливает антифриз в машину', но стоял у подвала.",1996-01-18
17,17,321,"22 июня пьяный водитель внедорожника ехал зигзагами по улице Ленина. После удара он вылез через окно и пытался убежать, спотыкаясь о бордюр.",2001-06-28
18,18,654,"8 мая днем в музее сработала пожарная сигнализация — ложная. Позже выяснилось, что в это время кто-то отключил датчики у витрины со скрипкой.",2005-05-14
19,19,987,"11 февраля ночью фургон без номеров припарковался у банкомата. Водитель вышел в черной балаклаве — думал, что это работник инкассации, пока не раздался взрыв.",1996-02-14
20,20,234,"17 августа получил письмо с темой 'Срочный отчет по зарплате'. При открытии файла компьютер завис. Через час все пароли перестали работать.",2018-08-25
21,21,567,"6 февраля ночью трое мужчин грузили мешки в машину у ювелирного магазина. Один крикнул: 'Быстрее, у нас 15 минут!' У него была татуировка на шее.",2015-02-09
22,22,890,"8 августа у озера нашел пустую пачку сигарет 'Kent' — такие редко продаются у нас. Рядом были следы от шин — не автомобильных, похоже на квадроцикл.",2007-08-14
23,23,123,"29 мая в офисе пахло странной химией. Кулер стоял в углу — кто-то переставил его туда накануне. Вода из него была мутноватой.",2021-06-03
24,24,456,"13 мая во дворе школы подросток в капюшоне 'NY' оставил пакет у забора. Когда его окликнули, он резко развернулся и убежал через задний выход.",2017-05-18
25,25,789,"10 июля на склад привезли 'спецпартию' лекарств без штрих-кодов. Водитель сказал, что 'это экспериментальные образцы' и торопился уехать.",2004-07-22
26,26,321,"15 мая в лифте дома №12 пахло дешевым одеколоном. Позже этот же запах был у мужчины, который выбежал из подъезда после выстрелов.",2015-05-21
